Name	Annotation1	Annotation2	Annotation3	Annotation4	Comment	Annotation5	ReqLevel
Chewing Gum	¦å¸{°­µ£	¶Â­··»¬}B2	35				1
Pumpkin Seed	«æ­á«n¥Ê¤p²Õ	¤H°©±Ð°óB1	36				1
Bat Balloon	¶Ý¦å½¿½»	¤H°©±Ð°óB1	36				1
Clip	Å]ªk®ÑºëÆF	¶Â­··»¬}B2	36				1
Dirty Chain	Å]¬\°­	¶Â­··»¬}B2	36				1
Textbook	¾÷±ñ¯}Ãa¨g	¤H°©±Ð°óB1	37				1
Handkerchief	§l¦å«½«½	¶Â­··»¬}B2	37				1
Butter Knife	¨gÅ]²Ô¤h	¤H°©±Ð°óB1	37				1
Seaweed	ªd¶í°­	¶Â­··»¬}B1	37	BOSS			1
Broken Bamboo Hat	½_¯ó¤Hªk®v	¶Â­··»¬}B2	37				1
Rusted Armor	µLÀYÃM¤h	¤H°©±Ð°ó1F	38	BOSS			1
Textured Paper	¤ì¤D¥ì¤§¤ý	¤H°©±Ð°óB1	38				1
Manure Bug	¥ÛÃÇ§L	¶Â­··»¬}B2	38				1
Perforated Bag	¼D¤l¤â³Ç¥i	¶Â­··»¬}B2	38				1
Wooden Peg Leg	³±­·½_¯ó¤H	¤H°©±Ð°óB1	38				1
Wristband	¥Õ­±·Ù	¶Â­··»¬}B3	39				1
Poison Air Bottle	¬r®ð½_¯ó¤H	¶Â­··»¬}B3	39				1
Defuse Evil Amulet	¼É¤Oªeµ£	¤H°©±Ð°óB1	39				1
Burnout Fire	¿OÅ¢°­	¤H°©±Ð°óB1	39				1
Broken Pauldron	Å]°­ÃM¤h	¶Â­··»¬}B3	40				1
Spiked Shoes	¦aº»¶Ä§L	¶Â­··»¬}B3	40				1
Wooden Shoes	¦uÅ@¥D	¤H°©±Ð°óB1	40				1
Spider Egg	¤ô»jµï	¤H°©±Ð°óB1	40				1
Shoes	·ÙÆF¤H°¸´c®ö	¶Â­··»¬}B3	41				1
Thick Green Hat	¬B°©­ô¥¬ªL	¶Â­··»¬}B3	41				1
Soul Crystalline	»îÃM¤h	¤H°©±Ð°óB2	41				1
Lightning Stone	¹pÃ^	¶Â­··»¬}B2	41	BOSS			1
Dissipated Soul	§¯ÆF	¤H°©±Ð°óB2	41				1
Metal Button	´cÅ]«½«½	¶Â­··»¬}B3	42				1
Shackle	¥Í¤Æ³à«Í	¶Â­··»¬}B3	42				1
Broken Sword	µL·¥íL«Í¤ý	¤H°©±Ð°óB2	42				1
Iron Piece	«CµL±`	¤H°©±Ð°óB2	42				1
Volcano Stone	º²©¥¥Û¹³°­	¤H°©±Ð°óB2	43				1
Lime Rock	¤Æ¥Û°­	¶Â­··»¬}B4	43				1
Fallen Tooth	¦º°©·P¬VªÌ	¶Â­··»¬}B4	43				1
Heavy Armor	«èÆFÃM¤h	¤H°©±Ð°óB2	43				1
Blue Fur Ball	¹qªi­¸²y	¤H°©±Ð°óB1	43	BOSS			1
Pine Corn Ring	¤Æ¤ì«Í°­	¶Â­··»¬}B4	43				1
Carnivorous Bug	«è©À¤ì¤D¥ì	¤H°©±Ð°óB2	44				1
Eyeglasses	°­ÃÇ¤H	¶Â­··»¬}B4	44				1
Cat's-Eye	¿ß²´Å]	¶Â­··»¬}B4	44				1
Rock Necklace	«è©G¾uÅ\	¤H°©±Ð°óB2	44				1
Sharp Wolf Fang	¨g¾Ô¯T¤H	¤H°©±Ð°óB2	45				1
Shattered Skull	¾uÅ\°«¤h	¶Â­··»¬}B3	45	BOSS			1
Leather Plant	ªZ³NÃ^	¶Â­··»¬}B4	45				1
Elusive Green	Ãè´ò§¯	¤H°©±Ð°óB2	45				1
Melting Ice Flame	Å]¿O	¥Û°}¥­­ì	46				1
Curled Hair	¤g°­µ£	¥Û°}¥­­ì	46				1
Burnout Ash	¬õ½¬¤õ	¥Û°}¥­­ì	47				1
Gold Grit	ª÷°­µ£	¥Û°}¥­­ì	47				1
Water Coated Ball	¹àªeµ£	¥Û°}¥­­ì	47				1
Pine Corn Peg Leg	¨¸ÆF½_¯ó¤H	¥Û°}¥­­ì	48				1
Heart Shaped Eye Patch	ªeµ£¦Ñ¤j	¥Û°}¥­­ì	48				1
Spider Headband	®y¼Åµ£¤l	¥Û°}¥­­ì	48				1
Weasel Claw	¥¨©òÃ^	¤H°©±Ð°óB2	48	BOSS			1
Magical Stick	¤p¥P¤l	¶Â­··»¬}B4	48	BOSS			1
Magical Beads	Âí¦v¤§ÆF	¥Û°}¥­­ì	49				1
Fragment Jade	»È²¯íL«Í	¥Û°}¥­­ì	49				1
Baron Cloak	¦å¸{¨kÀï¼wªG©Ô	¥Û°}¥­­ì	50				1
Millennium Hair Stick	¾ð§¯¶Â­·«¾«¾	¥Û°}¥­­ì	50				1
Spider Net	¤g»jµï	¥Û°}¥­­ì	50				1
Ogre Soul Bug	°­ÆF	¶Â­··»¬}B4	50	BOSS			1
Torn Spell	«C»ÉíL«Í	¤H°©±Ð°óB2	50	BOSS			1
Spider Leg	¬}¸]»jµï	¥Û°}¥­­ì	51				1
Testament	¯Á»î¤k°­	¥Û°}¥­­ì	51				1
Hilt	±þ¼v·À	¥Û°}¥­­ì	51				1
Purple Yogurt	»k¬r¥vµÜ©i	­¸³¾¥­­ì	52				1
Shred of Mirror	°­Ãè	­¸³¾¥­­ì	52				1
Thick Bladed Sword	°­«½«½À~¥i	­¸³¾¥­­ì	52				1
Mini Boots	±jµs­ô¥¬ªL	­¸³¾¥­­ì	53				1
Blood Crystal	¤õÄ_	­¸³¾¥­­ì	53				1
Monster Claw	¤g¹³°­	­¸³¾¥­­ì	53				1
Thick Straw	±Þ¥ñ½¿½»	­¸³¾¥­­ì	54				1
Soul Trigger Stone	¨ªµL±`	¥Û°}¥­­ì	54	BOSS			1
Eye Comb Stone	½N½N²´Å]	­¸³¾¥­­ì	54				1
Pumpkin Pie	«n¥Ê¤`ÆF¸s	­¸³¾¥­­ì	54				1
Lollipop	§l¦å¤pµ£	­¸³¾¥­­ì	55				1
Bandage	Âùµ£¤ì¤D¥ì	­¸³¾¥­­ì	55				1
Dagger	³B¦D¤H	­¸³¾¥­­ì	55				1
Straw Batch	°­ÆF½_¯ó¤H	­¸³¾¥­­ì	56				1
Wastepaper	¯È«½«½	­¸³¾¥­­ì	56				1
Compound Eye	»aÃÇ¾Ô¤h	­¸³¾¥­­ì	56				1
Red Silk Fabric	¤`ÆFÃM¤h	­¸³¾¥­­ì	57				1
Flower Bud	ªá§¯	­¸³¾¥­­ì	57				1
Giant Screw Nail	¯}·l©Ç¤H	­¸³¾¥­­ì	57				1
Cursed Coffin	Å]³N¤ì¤D¥ì	­¸³¾¥­­ì	58				1
Iron Hook	ºÆ¨gÂå¥Í	­¸³¾¥­­ì	58				1
Giant Wolf Claw	±j¤Æ¯T¤H	­¸³¾¥­­ì	58				1
Pocket Dictionary	¯È¾z	¯«Áô¥Û¸]B1	59				1
Electronic Bottle	¹q®ðªeµ£	²`«×¾Ç­bB1	59				1
Armor Fabric	«C°­µ£	²`«×¾Ç­bB1	59				1
Toy Bat	¥Û¸]½¿½»	¯«Áô¥Û¸]B1	59				1
Sign	Âù«Í¤ì¤D¥ì	¯«Áô¥Û¸]B1	60				1
Scythe	¥Í¤ÆñTÃ^	²`«×¾Ç­bB1	60				1
Cotton Far Ball	µ²ºô»jµï	²`«×¾Ç­bB1	60				1
Bubble Candy	¶¼¦å°­µ£	¯«Áô¥Û¸]B1	60				1
Snake Head	»\¬ü©Ô	­¸³¾¥­­ì	61	BOSS			1
Protective Mirror	ª÷¤àíL«Í	²`«×¾Ç­bB1	61				1
Cursed Bead	«èÆF	²`«×¾Ç­bB1	61				1
Drop	©¥§¯	¯«Áô¥Û¸]B1	61				1
Ancient Armor	°­ÆFÃM¤h	¯«Áô¥Û¸]B1	61				1
Water Ball	©¥¸]ªeµ£	¯«Áô¥Û¸]B2	62				1
Lamp Wick	°­¿O§¯	¯«Áô¥Û¸]B2	62				1
Broken Bride Stick	©ë»îªÌ	²`«×¾Ç­bB1	62				1
Shape of Hollyhock	¤d¤H±Ù	²`«×¾Ç­bB1	62				1
Pumpkin Vine	¨¸´c«n¥Ê¿O	²`«×¾Ç­bB2	63				1
Butterfly Hair Clip	°­µ£¤l	¯«Áô¥Û¸]B2	63				1
Bidden Flag	¨ª¨­µL±`	¯«Áô¥Û¸]B2	63				1
Mighty Jello	ªo¿°¥vµÜ©i	²`«×¾Ç­bB2	63				1
Spider Bag	¨¸²´»jµï	¯«Áô¥Û¸]B2	64				1
Magical Bead	¬}¥Þ«èÆF	¯«Áô¥Û¸]B2	64				1
Electronic Treatment Needle	Å]ÆFºÞ®a	²`«×¾Ç­bB2	64				1
Crystal Beads	¦å¸{¤p°­	²`«×¾Ç­bB2	64				1
Night Scope	©]Áô²´Å]	¯«Áô¥Û¸]B1	64	BOSS			1
Premium Paperweight	¸Þ²§®Ñ»î	¯«Áô¥Û¸]B3	65				1
Scabbard	µõ¤fÅ]¤b	²`«×¾Ç­bB1	65	BOSS			1
Dust Repellent Pouch	¥Û¹Ð½¿½»	¯«Áô¥Û¸]B3	65				1
Pink Band	¯»±a¤ì¤D¥ì	²`«×¾Ç­bB2	65				1
Iron Sacred Statue	»É¤Æ°­	²`«×¾Ç­bB2	65				1
Collar	ºÆ¨g¯T¤H	²`«×¾Ç­bB2	66				1
Torn Handkerchief	Âù¥Í¤ì¤D¥ì	¯«Áô¥Û¸]B3	66				1
Plum Juice	²V¦åÂÎµ£	¯«Áô¥Û¸]B3	66				1
Cloth Cowl	¾uÅ\µs¸é	²`«×¾Ç­bB2	66				1
Lyre	¤ôºëÆF	¯«Áô¥Û¸]B3	67				1
Venom Spider Web	½Lµ·¥Þµï	¯«Áô¥Û¸]B2	67	BOSS			1
Bad Religion Ring	¨¸³N¤ì¤D¥ì	²`«×¾Ç­bB3	67				1
Shred of Crystalline	¾uÅ\§Å®v	¯«Áô¥Û¸]B3	67				1
Ragged Shoe Lace	°­Ä_¨©Å]©_	²`«×¾Ç­bB3	67				1
Cursed Shackle	¥Í¤Æ¦º«Í	²`«×¾Ç­bB3	67				1
Ogre Mask	°­­±©Ç«È	²`«×¾Ç­bB3	67				1
Dust Eye Stone	«C¥ú²´Å]	²`«×¾Ç­bB3	67				1
Teared Eye Stone	¬}¥Þ¤ôÄ_	²`«×¾Ç­bB3	67				1
Grass Scroll	¨g¼É¤ì¤D¥ì	²`«×¾Ç­bB3	67				1
Giant Wing	¬ðÅÜ»aÃÇ¤H	²`«×¾Ç­bB3	67				1
Ragged Butterfly Tie	À¦ÆF¤ì¤D¥ì	¯«Áô¥Û¸]B4	68				1
Old Tooth	¥¢¯«·P¬VªÌ	¯«Áô¥Û¸]B4	68				1
Bell	¿ß§¯¤k¶Ä	¯«Áô¥Û¸]B4	69				1
Aerial Rose	¹êÅçÅK¥¨¤H	¯«Áô¥Û¸]B4	69				1
Crystalline Soul	«Ê»îÃM¤h	²`«×¾Ç­bB2	69	BOSS			1
Translucent Wing	Áô©~§¯ºë	¯«Áô¥Û¸]B4	70				1
Iron Glove	¦å¥ÒÃM¤h	¯«Áô¥Û¸]B4	70				1
Glass Piece	¸U°­«èÃè	¯«Áô¥Û¸]B3	70	BOSS			1
Machinery Arm	²×·¥¬ì¾Ç©Ç¤H	²`«×¾Ç­bB3	75	BOSS			1
Celestial Bell	íL«Í¹Dªø	¯«Áô¥Û¸]B4	75	BOSS			1
Spell of Null							1
Mystic Old Currency					Currency used in an unknown world. Sell it at a shop for 1 gold coin.		1
Mystic Copper Currency					Currency used in an unknown world. Sell it at a shop for 10 gold coins.		1
Mystic Silver Currency					Currency used in an unknown world. Sell it at a shop for 100 gold coins.		1
Damaged Mystic Gold Currency					Currency used in an unknown world. Sell it at a shop for 500 gold coins.		1
Mystic Gold Currency					Currency used in an unknown world. Sell it at a shop for 1000 gold coins.		1
Mystic Platinum Currency					Currency used in an unknown world. Sell it at a shop for 10000 gold coins.		1
Raffle Ticket					For a raffle. Please keep it safe.		1
Fragment of Beast Copper Coin							1
Beast Copper Coin							1
Fragment of Beast Silver Coin							1
Beast Silver Coin							1
Fragment of Beast Gold Coin							1
Beast Gold Coin							1
Cracked Platinum Coin							1
Witch's Tail Feather	³¾¨­¤k§¯	¹p¥ú¯ó­ì	25				1
Venom Claw	¬õ½¬¤k§¯	¹p¥ú¯ó­ì	26				1
Old Tree Roots	¨g­·¤k§¯	¹p¥ú¯ó­ì	27				1
False Eyelash	µµ®V¤k§¯¡@	¹p¥ú¯ó­ì	28				1
Bird's Claw	Âû³D§¯	¹p¥ú¯ó­ì	25				1
Tiger Skin	ªê§ÀÂû§¯	¹p¥ú¯ó­ì	26				1
Rainbow Topknot	±m«aÂû§¯	¹p¥ú¯ó­ì	27				1
Evil Eye	¨¸²´Âû§¯	¹p¥ú¯ó­ì	28				1
Ragged Cloak	¤k§Å	¯î¿¾¤§À]	30				1
Witch's Tricorn	¹Ü©R¤k§Å	¯î¿¾¤§À]	31				1
Antique Book Paper	¤Ì©]¤k§Å	¯î¿¾¤§À]	32				1
Dried Frog	¤ÑµM¤k§Å	¯î¿¾¤§À]	33				1
Giant Round Stone	¯«¯µÀJ¹³	¯î¿¾¤§À]	30				1
Purple Stone Pillar	¨I«ä¨g	¯î¿¾¤§À]	31				1
Devil Crystal	Å]ÀJ¹³	¯î¿¾¤§À]	32				1
Soul Stone	©¥ÆF¥ÛÀJ	¯î¿¾¤§À]	33				1
Xmas Star							1
Xmas Bell							1
Xmas Tape							1
Xmas Socks							1
Xmas Ticket							1
Ragged Flame	®£©Æµe¹³	¸t¹kÆW	50	Âø³½			1
Peeled Ink	Å]¤fµe¹³	¸t¹kÆW	51	Âø³½			1
Sly Smile	ÆF²§µe¹³	¸t¹kÆW	52	Âø³½			1
Trail of Monster	§¯²§µe¹³	¸t¹kÆW	53	Âø³½			1
Remnant Brush	°­¼vµe¹³	¸t¹kÆW	59	BOSS			1
Giant Scale	ªh¿A¤H³½	«Õ´ò®q	53	Âø³½			1
Mini Octopus	¦º®ü¤H³½	«Õ´ò®q	55	Âø³½			1
Fish Bone	¶Â®üÃT¤H	«Õ´ò®q	56	Âø³½			1
Mermaid's Statue	ªd´ò³½¤H	«Õ´ò®q	57	Âø³½			1
Wet Cloth	³±·¾°­	«Õ´ò®q	54	Âø³½			1
Muddy Poison Bottle	§Q´u®ü©Ç	«Õ´ò®q	62	BOSS			1
Appointment Letter	²`®üÀFÅ]	«Õ´ò®q	65	BOSS			1
Iron Monument	¿W²´¥¨¤H	¿Ã¤õ¥­­ì	57	Âø³½			1
Giant Iron Hammer	¦å½ü¥¨¤H	¿Ã¤õ¥­­ì	59	Âø³½			1
Genie's Tricolor	Å]¨¤¥¨¤H	¿Ã¤õ¥­­ì	60	Âø³½			1
Lovely Headband	ÅQ¬ð¥¨¤H	¿Ã¤õ¥­­ì	61	Âø³½			1
Eye Drop	¤Û²´Å]	¿Ã¤õ¥­­ì	58	Âø³½			1
Ragged Sunglasses	¹Ü²´Å]	¿Ã¤õ¥­­ì	59	Âø³½			1
Muddy Crystal	¤gÄ_	¿Ã¤õ¥­­ì	60	Âø³½			1
Mud Clump	ªGÄ_	¿Ã¤õ¥­­ì	61	Âø³½			1
Satanic Eye	µõ¤Ñ¥¨¤H	¿Ã¤õ¥­­ì	66	BOSS			1
Fruit	Å]ªk¨Ï	©]ÆF¦aÅKªF°¼	58	Âø³½			1
Fuzz Ball	®£©Æ¤pºëÆF	©]ÆF¦aÅKªF°¼	58	Âø³½			1
Broken Chain	­¹¤H½c	©]ÆF¦aÅKªF°¼	58	Âø³½			1
Fragment of Copper Coin	Ä_½cÃ~	©]ÆF¦aÅKªF°¼	59	Âø³½			1
Sharp Edge	¼É©Ñ¤k°­	©]ÆF¦aÅKªF°¼	64	BOSS			1
Fragment of Silver Coin	«C­ßÃ~ÆF	©]ÆF¦aÅK¤¤¥¡°Ï	61	Âø³½			1
Fragment of Gold Coin	½c¤§Ã~»î	©]ÆF¦aÅK¤¤¥¡°Ï	62	Âø³½			1
Burnt Bandage	µJ©¥¤p¤ì¤D¥ì	©]ÆF¦aÅK¤¤¥¡°Ï	61	Âø³½			1
Burnt Hair Accessory	¤õ­L¤ì¤D¥ì	©]ÆF¦aÅK¤¤¥¡°Ï	62	Âø³½			1
Broken Key	Å]¤ý½c	©]ÆF¦aÅK¤¤¥¡°Ï	67	BOSS			1
Ogre Dog's Tail	¨ª³¥°­¤ü	©]ÆF¦aÅK¤¤¥¡°Ï	68	Âø³½			1
Giant Dog Collar	°­¥±©Ô¤ü	©]ÆF¦aÅK¤¤¥¡°Ï	70	Âø³½			1
Ghost Urn	«Õ­ß¤k°­	©]ÆF¦aÅK¤¤¥¡°Ï	68	Âø³½			1
Spoon	¤£¦º¤HÅ]	©]ÆF¦aÅK¤¤¥¡°Ï	70	Âø³½			1
Bizarre Remote Control	¼o±ó¾÷±ñ°­	©]ÆF¦aÅK¤¤¥¡°Ï	78	BOSS			1
Cow Skull	¦aº»­ß¤ü	©]ÆF¦aÅK¦è°¼	63	Âø³½			1
Mutton	³±¶¡¾Ô¤ü	©]ÆF¦aÅK¦è°¼	64	Âø³½			1
Shallow Paper	¤Æ»î¯È¤H	©]ÆF¦aÅK¦è°¼	63	Âø³½			1
Paper Sign	¦aº»¤§®Ñ	©]ÆF¦aÅK¦è°¼	64	Âø³½			1
Ogre Dog's Fang	¤r­º§¯¤ü	©]ÆF¦aÅK¦è°¼	70	BOSS			1
Ivy	Å]ªá°ÒªûÅÚ	»È°©³·­ì	61	Âø³½			1
Poison Apple	Å]¬v½µ	»È°©³·­ì	62	Âø³½			1
Poison Ivy	§¯ÀYªá	»È°©³·­ì	64	Âø³½			1
Withered Leaf	¬r¬õ®ü´Å	»È°©³·­ì	64	Âø³½			1
Golden Wolf's Fur	·¥¦a¤H¯T	»È°©³·­ì	63	Âø³½			1
Rainbow Petal	Àr­±°­ªá	»È°©³·­ì	70	BOSS			1
Spoiled Radish	Å]ÆFÃM§L	Å]Ãè¦B­ì	65	Âø³½			1
Fragment of Armor	§Ö±ÙÃM§L	Å]Ãè¦B­ì	66	Âø³½			1
Tarnished Horseshoe	´cÆFÃM§L	Å]Ãè¦B­ì	67	Âø³½			1
Ghostly Mane	°­°¨ÃM§L	Å]Ãè¦B­ì	68	Âø³½			1
Snow Crystal	³·Ä_	Å]Ãè¦B­ì	65	Âø³½			1
